 ⚠️[FILE > MAKE A COPY] TO USE/EDIT⚠️,,,Main Missions,,,,,Gigs,,,
PERMANENTLY MISSABLE,,,,Weapon,Mission,Notes,,,Weapon,Gig,Notes
LOCKED IF OTHER QUEST COMPLETED TOO EARLY,,,PROLOGUE,,,,,FALSE,Hypercritical,Concrete Cage Trap,Regina Gig | Pointed Out by Tiny Mike
Check the choices you've made or plan to make. If this is your,,,FALSE,Chaos,The Pickup,Defeat Royce,,FALSE,Bloody Maria,---,Complete Every El Capitán Gig
"first time, feel free to play until you reach the choice and check",,,FALSE,Kongou,The Heist,Yorinobu's Bedside Table,,FALSE,Byakko,---,Complete Every Wakako Gig
here to see which iconics lock.,,,FALSE,Nehan,The Heist,Saburo Arasaka's Body,,FALSE,Seraph,---,Complete Every Padre Gig
FALSE,Nudity OFF,,FALSE,Satori,The Heist,AV Pad | After T-Bug Opens Doors,,PHANTOM LIBERTY (Mr. Hands),,,
FALSE,Send Jackie to Vik,,AUTOMATIC LOVE QUESTLINE,,,,,FALSE,Crimestopper,Heaviest of Hearts,VIP Room 06 OR Black Market Dealer
FALSE,The Pickup | Side w/ Maelstrom,,FALSE,Cocktail Stick,Automatic Love,Cloud Dressing Room,,FALSE,Ambition,Prototype in the Scraper,Call Mr. Hands | Give the Eye
FALSE,The Pickup | Side w/ Meredith Stout,,FALSE,Lizzie,Automatic Love,Private Room Near Judy Álvarez's Den,,FALSE,Hercules 3AX,Roads to Redemption,Storage Room OR Black Market Dealer
FALSE,Beat on the Brat: Arroyo | Peaceful Conclusion,,FALSE,Cottonmouth,The Space in Between,Fingers' Coffee Table,,FALSE,Pizdets,Spy in the Jungle,Defeat Boris Ribakov
FALSE,Shoot to Thrill | Lose Shooting Competition,,FALSE,Errata,Disasterpiece,Forge,,FALSE,Dezerter,The Man Who Killed Jason Foreman,Spare Leon OR Call Regina | 1975 OR Remote Deactivation
FALSE,War Pig (CORPO) | Talk Down Frank,,FALSE,Butcher's Cleaver,M'ap Tann Pèlen,Placide Puts It Down,,FALSE,Gris-Gris,Treating Symptoms,In Slider's Hideout | Storage Key Found During Gig
FALSE,Firestarter | Betray R,,FALSE,Sasquatch's Hammer,I Walk the Line,Defeat Sasquatch OR Steal on Ground in Stealth,,FALSE,Ogou,Treating Symptoms,Defeat Robot R Mk.2
FALSE,Firestarter | Betray S,,GHOST TOWN QUESTLINE,,,,,FALSE,Rosco,Waiting for Dodger,Kill Dodger
